Transaction Identifier,Date of Discovery,"Discovery Method (Staff, Sales Agent, System Alert)",Compliance Reviewer,Transaction Description,Was the transaction completed?,Is the transaction suspicious?,Why was the transaction considered to be suspicious OR considered not to be suspicious?,FINTRAC Report Number,Date that the transaction was deemed to be suspicious,FINTRAC Reporting Date,Follow-up Activity,Customer #,CAD,tx date
615745ee3f,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,7326.0,4000,2021-10-28
9271aad29e,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,13894.0,900,2021-09-27
212dfc23c5,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,9652.0,11000,2022-01-06
8591542c55,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,17384.0,1000,2021-12-29
166ba70bf9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598.0,5000,2021-12-08
a05c4345a9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,12789.0,1200,2021-09-18
f5d1f1307d,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,13085.0,9000,2021-10-16
6d8993498c,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,17239.0,1500,2021-12-24
638fca3e36,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,12789.0,2000,2021-10-19
3b32f505f5,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,822.0,19900,2021-07-19
5ffc48f403,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,822.0,6100,2021-07-19
9a6ce18518,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,16723.0,16000,2021-12-09
d51a6734f8,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,14415.0,800,2021-10-16
d8746460fd,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,14415.0,4500,2021-10-16
8f18718eff,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,6849.0,10005,2021-07-27
3f7713dbe1,"January 11, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 11, 2022",redacted,redacted,16480.0,10000,"January 11, 2022"
f68d3f0531,"January 13, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 13, 2022",redacted,redacted,4512.0,11800,"January 13, 2022"
e857e4787f,"January 14, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 14, 2022",redacted,redacted,7478.0,20000,"January 14, 2022"
d0afef81ec,"January 14, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 14, 2022",redacted,redacted,11326.0,20000,"January 14, 2022"
7fc90a2bb9,"January 15, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 15, 2022",redacted,redacted,17660.0,10000,"January 15, 2022"
cbd84580fc,"January 21, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 21, 2022",redacted,redacted,9652.0,11100,"January 21, 2022"
6c5ea6a8c6,"January 22, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 22, 2022",redacted,redacted,9652.0,11000,"January 22, 2022"
f000cebe2e,"January 23, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 23, 2022",redacted,redacted,9652.0,10900,"January 23, 2022"
189d96d7a3,"January 24, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 24, 2022",redacted,redacted,9652.0,11000,"January 24, 2022"
096d08cf01,"January 25, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 25, 2022",redacted,redacted,9652.0,11000,"January 25, 2022"
acf2bcb964,"January 24, 2022",System Alert,redacted,Large cash,yes,yes,"The customer conducted multiple small transactions in order to structure them into a larger payment (over $10,000.00 CAD) for the same recipient. ",redacted,"January 24, 2022",redacted,redacted,18196.0,6500,
7d0a0beceb,"January 24, 2022",System Alert,redacted,large cash,yes,yes,"The customer conducted multiple small transactions in order to structure them into a larger payment (over $10,000.00 CAD) for the same recipient. ",redacted,"January 24, 2022",redacted,redacted,18196.0,6500,
e4f4a7baf3,"January 24, 2022",System Alert,redacted,large cash,yes,yes,"The customer conducted multiple small transactions in order to structure them into a larger payment (over $10,000.00 CAD) for the same recipient. ",redacted,"January 24, 2022",redacted,redacted,18196.0,6840,
096d08cf01,"January 25, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 25, 2022",redacted,redacted,9652.0,11000,
2766f49b16,"January 26, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 26, 2022",redacted,redacted,9652.0,11700,
dec6ade6af,"January 27, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 27, 2022",redacted,redacted,9652.0,11300,"January 27, 2022"
039d19abfb,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,9652.0,11800,"January 28, 2022"
07584aab2e,"January 27, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 27, 2022",redacted,redacted,16025.0,20000,
0d4da48730,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,16025.0,20000,
62d90688a1,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,16025.0,10000,
039d19abfb,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,9652.0,11800,"January 28, 2022"
4851355545,"January 29, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 29, 2022",redacted,redacted,9652.0,11900,"January 29, 2022"
cc9d7aeb60,"January 29, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 29, 2022",redacted,redacted,8382.0,10000,"January 29, 2022"
e4bc27778b,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647.0,140,"February 1, 2022"
7002053de8,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647.0,4900,"February 1, 2022"
958bd60049,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647.0,4900,"February 1, 2022"
9d3df5d869,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647.0,4900,"February 1, 2022"
f0c214108c,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647.0,300,"February 1, 2022"
1e19b5c7f8,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650.0,100,"February 1, 2022"
64737a7191,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650.0,4900,"February 1, 2022"
eefbadc51c,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650.0,5000,"February 1, 2022"
87063be359 ,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650.0,6400,"February 1, 2022"
da3f4b23fe,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18474.0,10000,2022-02-27
64857173c0,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,12151.0,10000,2022-02-25
c184fda8c5,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,7085.0,13600,2022-02-25
5073e844ea,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,12151.0,10000,2022-02-24
773f01a1c5,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,19141.0,6000,2022-02-24
23f680fa80,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,19141.0,9000,2022-02-24
b29bb670b6,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,19141.0,9500,2022-02-24
8024e4df7d,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,12200,2022-02-24
5b2dac9e18,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18898.0,10160,2022-02-23
3f6f10ca17,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,9652.0,10000,2022-02-22
2e95bed305,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,15000,2022-02-22
48845d5b8c,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18975.0,10000,2022-02-22
7a21b05cba,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,10000,2022-02-21
c5b5770db6,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,15000,2022-02-20
279277d593,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18449.0,20000,2022-02-18
f4d4b9e638,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18449.0,20000,2022-02-18
a2b47b55b8,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18991.0,1980,2022-02-18
88326bb4b1,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18991.0,6000,2022-02-18
89c6b41130,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18991.0,4500,2022-02-18
6202791e75,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18991.0,950,2022-02-18
247e4a283c,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,15000,2022-02-18
93e8f3ad43,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18898.0,10800,2022-02-18
884fc0ebb0,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18975.0,12000,2022-02-18
83bb7d289a,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,8857.0,10000,2022-02-18
fc118b9cdc,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,8857.0,400,2022-02-18
b6039f0c0c,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11326.0,13000,2022-02-17
cd71e5c9f5,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,735.0,11000,2022-02-16
fe858eee51,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11326.0,17000,2022-02-16
11e2043286,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,4512.0,10500,2022-02-15
f745bbcd62,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,17384.0,10500,2022-02-15
03c11cca16,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,16650.0,10000,2022-02-12
c7d20491b2,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18679.0,11000,2022-02-12
1c1bf985db,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,8857.0,10000,2022-02-11
ed44f4240c,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,8857.0,20000,2022-02-11
fb068b6c78,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,16650.0,33400,2022-02-11
b3de83feac,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,5993.0,12500,2022-02-10
189a6c2eb8,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,11000,2022-02-08
01507c85f4,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,12000,2022-02-07
959d0ceb3e,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,200,2022-02-05
271313b843,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,4900,2022-02-05
459b7be16d,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,4900,2022-02-05
2996e8a7f1,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,2200,2022-02-04
d4e6e8f8b2,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,4900,2022-02-04
6f1bf7b850,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,11454.0,4900,2022-02-04
6da1524d24,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18449.0,10000,2022-02-04
0fc09a9b71,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18474.0,30500,2022-02-03
a11e0acacf,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,17384.0,25000,2022-02-03
470c72e38a,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,16480.0,16000,2022-02-02
f524e2af72,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,6525.0,7500,2022-02-01
e3a8bbe1ee,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,6525.0,7500,2022-02-01
dafcd021d0,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,18244.0,10000,2022-02-01
2015c6ad85,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,16480.0,10000,2022-02-01
87063be359,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,16650.0,11000,2022-02-01
7e366521fc,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,17659.0,11000,2022-01-07
5a276c2f94,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,17659.0,900,2022-01-06
bd590aeacf,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,17659.0,9100,2022-01-06
974f8b7168,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,3678.0,4500,2022-01-01
e7b400dcb3,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,3678.0,4500,2022-01-01
6fc819b5a1,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,3678.0,360,2022-01-01
1d421fff86,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,3678.0,550,2022-01-01
afe9782b14,2022-03-08,System Alert,Eissa,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",,2022-03-08,,None,3678.0,300,2022-01-01
